BoroughCode,StatusOrderNumber,SignSequence,Distance,ArrowPoints,SignDescription
B,P-004958,1,0,   ,Curb Line
B,P-004958,2,9,   ,Property Line
B,P-004958,3,30,   ,NIGHT REGULATION (MOON & STARS SYMBOLS) NO PARKING (SANITATION BROOM SYMBOL) MIDNIGHT TO 3AM TUES & FRI                                                             
B,P-004958,4,30,   ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-004958,5,208,   ,NIGHT REGULATION (MOON & STARS SYMBOLS) NO PARKING (SANITATION BROOM SYMBOL) MIDNIGHT TO 3AM TUES & FRI                                                             
B,P-004958,6,208,   ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-004958,7,218,   ,Property Line
B,P-004958,8,232,   ,Curb Line
B,P-009318,1,0,   ,Curb Line
B,P-009318,2,14,   ,Building Line
B,P-009318,3,66,   ,NO STANDINGHANDICAP BUS STOP(SYMBOL) W/4 ROUTES +(15X12
B,P-009318,4,129,   ,NO STANDINGHANDICAP BUS STOP(SYMBOL) W/4 ROUTES +(15X12
B,P-009318,5,149,   ,Property Line
B,P-009318,6,177,   ,Curb Line
B,P-010938,1,0,   ,Building Line
B,P-010938,2,55,   ,NO PARKING ANYTIME(SUPERSEDED BY R7-40R) DON'T USE R7-40                                                                                                                
B,P-010938,3,89,   ,Property Line
B,P-049703,1,0,   ,Building Line
B,P-049703,2,0,   ,NO PARKING (SANITATION BROOM SYMBOL) 8AM-9AM EXCEPT SUNDAY  (SUPERSEDED BY SP-156C DATED 1-22-98)                                                                 
B,P-049703,3,0,   ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-049703,4,90,   ,NO PARKING (SANITATION BROOM SYMBOL) 8AM-9AM EXCEPT SUNDAY  (SUPERSEDED BY SP-156C DATED 1-22-98)                                                                 
B,P-049703,5,90,   ,1 HOUR PARKING 9AM-7PM EXCEPT SUNDAY                                                                                                                                    
B,P-049703,6,158,   ,Property Line
B,P-068316,1,0,   ,Curb Line
B,P-068316,2,15,   ,Building Line
B,P-068316,3,87,   ,NO STANDINGHANDICAP BUS STOP(SYMBOL) W/4 ROUTES +(15X12
B,P-068316,4,149,W  ,NO STANDING(SINGLE ARROW)HANDICAP BUS(SYMBOL)W/4 ROUTES +(15X12 4 ROUTE RIDER-IF NECESSARY) REVISED 3/25/92 & SUPERSEDES SP-298BA                                       
B,P-068316,5,179,   ,NO PARKING ANYTIME  (SUPERSEDES R7-40 DON'T USE --R7-40)                                                                                                          
B,P-068316,6,229,   ,Building Line
B,P-068316,7,229,W  ,NO PARKING ANYTIME (SINGLE ARROW)(SUPERSEDES R7-40 DON'TUSE R7-40)                                                                                                      
B,P-068316,8,244,   ,Curb Line
B,P-070463,1,0,   ,Curb Line
B,P-070463,2,13,   ,Building Line
B,P-070463,3,131,W  ,NO PARKING (SANITATION BROOM SYMBOL) 8-8:30AM EXCEPT SUN W/ SIGNLE ARROW (SUPERSEDES SP-182CA)                                                                          
B,P-070463,4,131,W  ,1 HOUR PARKING 8:30AM-7PM EXCEPT SUNDAY W/SINGLE ARROW                                                                                                                  
B,P-070463,5,213,W  ,NO STANDING(SINGLE ARROW)HANDICAP BUS(SYMBOL)W/4 ROUTES +(15X12 4 ROUTE RIDER-IF NECESSARY) REVISED 3/25/92 & SUPERSEDES SP-298BA                                       
B,P-070463,6,213,   ,Property Line
B,P-070463,7,226,   ,Curb Line
B,P-070562,1,0,   ,Curb Line
B,P-070562,2,20,   ,Building Line
B,P-070562,3,122,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM MON  (DON'T LITTER) SUPERSEDED 2-2-95                                                                          
B,P-070562,4,122,   ,METERS ARE NOT IN EFFECT ABOVE TIMES (RIDER)                                                                                                                            
B,P-070562,5,122,S  ,2 HOUR PARKING 9AM-7PM EXCEPT SUNDAY W/ SINGLE ARROW                                                                                                                    
B,P-070562,6,302,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM MON  (DON'T LITTER) SUPERSEDED 2-2-95                                                                          
B,P-070562,7,492,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM MON  (DON'T LITTER) SUPERSEDED 2-2-95                                                                          
B,P-070562,8,640,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM MON  (DON'T LITTER) SUPERSEDED 2-2-95                                                                          
B,P-070562,9,785,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM MON  (DON'T LITTER) SUPERSEDED 2-2-95                                                                          
B,P-070562,10,815,   ,Property Line
B,P-070562,11,830,   ,Curb Line
B,P-070574,1,0,   ,Curb Line
B,P-070574,2,12,   ,Building Line
B,P-070574,3,105,   ,NO PARKING (SANITATION BROOM SYMBOL) 11:30AM TO 1PM TUES  (DON'T LITTER) (SUPERSEDES SP-457C DATED 7-27-99)                                                       
